INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
California State Polytechnic University-Pomona,Pomona,CA,91768,Western Association of Schools and Colleges Senior Colleges and University Commission,34.054273,-117.819019,22034
California State University-Chico,Chico,CA,95929-0150,Western Association of Schools and Colleges Senior Colleges and University Commission,39.728003,-121.846333,15903
California State University-Dominguez Hills,Carson,CA,90747-0005,Western Association of Schools and Colleges Senior Colleges and University Commission,33.86524,-118.259316,12584
California State University-Fresno,Fresno,CA,93740,Western Association of Schools and Colleges Senior Colleges and University Commission,36.814477,-119.748258,21076
California State University-Fullerton,Fullerton,CA,92831-3599,Western Association of Schools and Colleges Senior Colleges and University Commission,33.883627,-117.885349,33009
California State University-East Bay,Hayward,CA,94542,Western Association of Schools and Colleges Senior Colleges and University Commission,37.65707,-122.058073,12981
California State University-Long Beach,Long Beach,CA,90840-0115,Western Association of Schools and Colleges Senior Colleges and University Commission,33.782752,-118.1123,32025
California State University-Los Angeles,Los Angeles,CA,90032-8506,Western Association of Schools and Colleges Senior Colleges and University Commission,34.066927,-118.168965,23424
California State University-Northridge,Northridge,CA,91330,Western Association of Schools and Colleges Senior Colleges and University Commission,34.23671,-118.526817,36979
California State University-Sacramento,Sacramento,CA,95819-2694,Western Association of Schools and Colleges Senior Colleges and University Commission,38.55745,-121.42194,27323
University of California-Berkeley,Berkeley,CA,94720,Western Association of Schools and Colleges Senior Colleges and University Commission,37.871969,-122.260423,27496
University of California-Davis,Davis,CA,95616-8678,Western Association of Schools and Colleges Senior Colleges and University Commission,38.539895,-121.751958,28239
University of California-Irvine,Irvine,CA,92697,Western Association of Schools and Colleges Senior Colleges and University Commission,33.648434,-117.841248,25245
University of California-Los Angeles,Los Angeles,CA,90095-1405,Western Association of Schools and Colleges Senior Colleges and University Commission,34.068892,-118.443901,29581
University of California-Riverside,Riverside,CA,92521,Western Association of Schools and Colleges Senior Colleges and University Commission,33.97588,-117.331098,18597
University of California-San Diego,La Jolla,CA,92093,Western Association of Schools and Colleges Senior Colleges and University Commission,32.876598,-117.237793,26584
University of California-San Francisco,San Francisco,CA,94143-0244,Western Association of Schools and Colleges Senior Colleges and University Commission,37.762736,-122.458049,NULL
University of California-Santa Barbara,Santa Barbara,CA,93106,Western Association of Schools and Colleges Senior Colleges and University Commission,34.416281,-119.846404,20606
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,Western Association of Schools and Colleges Senior Colleges and University Commission,36.997258,-122.067993,16231
Sofia University,Palo Alto,CA,94303,Western Association of Schools and Colleges Senior Colleges and University Commission,37.430325,-122.10866,10
California Beauty School,Modesto,CA,95354,National Accrediting Commission of Career Arts and Sciences,37.645217,-120.99689,54
California Christian College,Fresno,CA,93727,Transnational Association of Christian Colleges and Schools,36.75031,-119.711208,18
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,94103,Accrediting Council for Independent Colleges and Schools,37.765415,-122.402643,378
California Hair Design Academy,La Mesa,CA,91941-5055,National Accrediting Commission of Career Arts and Sciences,32.765221,-117.024261,210
California Institute of the Arts,Valencia,CA,91355-2397,Western Association of Schools and Colleges Senior Colleges and University Commission,34.393337,-118.567303,942
California State University Maritime Academy,Vallejo,CA,94590,Western Association of Schools and Colleges Senior Colleges and University Commission,38.069061,-122.231551,1072
California Western School of Law,San Diego,CA,92101-3046,American Bar Association,32.72194,-117.162597,NULL
Canada College,Redwood City,CA,94061-1099,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.447365,-122.265549,5192
College of the Canyons,Santa Clarita,CA,91355-1899,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.403121,-118.569524,16628
Career Academy of Beauty,Garden Grove,CA,92845,National Accrediting Commission of Career Arts and Sciences,33.781018,-118.031697,153
Casa Loma College-Van Nuys,Van Nuys,CA,91405,Accrediting Bureau of Health Education Schools,34.195438,-118.448335,356
CET-San Diego,San Diego,CA,92102,Council on Occupational Education,32.711715,-117.122496,307
CET-Sobrato,San Jose,CA,95110,Council on Occupational Education,37.322723,-121.88698,431
CET-El Centro,El Centro,CA,92243,Council on Occupational Education,32.790908,-115.549079,380
CET-Colton,Colton,CA,92324,Council on Occupational Education,34.075136,-117.268738,189
CET-Watsonville,Watsonville,CA,95076,Council on Occupational Education,36.931833,-121.767991,163
CET-Salinas,Salinas,CA,93901,Council on Occupational Education,36.671635,-121.652791,93
Cerritos College,Norwalk,CA,90650-6298,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.88584,-118.097263,20439
Cerro Coso Community College,Ridgecrest,CA,93555-9571,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,35.567763,-117.667706,4104
Chabot College,Hayward,CA,94545,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.642513,-122.106969,12255
Chaffey College,Rancho Cucamonga,CA,91737-3002,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.14705,-117.573086,18449
Chapman University,Orange,CA,92866,Western Association of Schools and Colleges Senior Colleges and University Commission,33.793678,-117.851481,6281
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,Western Association of Schools and Colleges Senior Colleges and University Commission,33.925658,-118.242791,85
Concordia University-Irvine,Irvine,CA,92612-3203,Western Association of Schools and Colleges Senior Colleges and University Commission,33.6535,-117.81063,1863
San Diego Christian College,Santee,CA,92071,Western Association of Schools and Colleges Senior Colleges and University Commission,32.84281,-116.978151,905
Church Divinity School of the Pacific,Berkeley,CA,94709-1211,Commission on Accrediting of the Association of Theological Schools,37.876169,-122.261391,NULL
Citrus College,Glendora,CA,91741-1899,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.135487,-117.885266,11599
Citrus Heights Beauty College,Citrus Heights,CA,95610-1410,National Accrediting Commission of Career Arts and Sciences,38.71307,-121.289531,81
City College of San Francisco,San Francisco,CA,94112-1898,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.725953,-122.451155,21619
Claremont Graduate University,Claremont,CA,91711-6160,Western Association of Schools and Colleges Senior Colleges and University Commission,34.103778,-117.712394,NULL
Claremont McKenna College,Claremont,CA,91711-6400,Western Association of Schools and Colleges Senior Colleges and University Commission,34.102323,-117.706593,1325
Milan Institute-Visalia,Visalia,CA,93277,Accrediting Council for Continuing Education & Training,36.27164,-119.312151,354
Clovis Adult Education,Clovis,CA,93611,Council on Occupational Education,36.836915,-119.69019,612
Coastline Community College,Fountain Valley,CA,92708-2597,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.609771,-117.861844,9773
Cogswell College,San Jose,CA,95134,Western Association of Schools and Colleges Senior Colleges and University Commission,37.413664,-121.940553,630
Coleman University,San Diego,CA,92123-1506,Accrediting Council for Independent Colleges and Schools,32.821962,-117.136493,346
Coba Cosmetology Academy,Orange,CA,92866,National Accrediting Commission of Career Arts and Sciences,33.788258,-117.85348,35
Western University of Health Sciences,Pomona,CA,91766-1854,Western Association of Schools and Colleges Senior Colleges and University Commission,34.058092,-117.747732,NULL
Columbia College,Sonora,CA,95370,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,38.030361,-120.387603,2173
Columbia College-Hollywood,Tarzana,CA,91356-1411,Western Association of Schools and Colleges Senior Colleges and University Commission,34.179596,-118.538394,326
El Camino College-Compton Center,Compton,CA,90221-5393,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.876665,-118.209186,6484
Contra Costa College,San Pablo,CA,94806-3195,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.968623,-122.342386,5052
Cosumnes River College,Sacramento,CA,95823-5799,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,38.453836,-121.422971,13315
Crafton Hills College,Yucaipa,CA,92339-1799,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.038513,-117.100826,5127
Cuesta College,San Luis Obispo,CA,93403-8106,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,35.329859,-120.741624,7835
Cuyamaca College,El Cajon,CA,92019,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,32.743072,-116.941044,7748
Cypress College,Cypress,CA,90630-5897,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.827625,-118.023889,15175
De Anza College,Cupertino,CA,95014,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.319176,-122.045365,20047
International School of Beauty Inc,Palm Desert,CA,92260-2740,National Accrediting Commission of Career Arts and Sciences,33.729555,-116.403928,186
Dell'Arte International School of Physical Theatre,Blue Lake,CA,95525-0816,National Association of Schools of Theatre,40.880871,-123.988878,15
College of the Desert,Palm Desert,CA,92260,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.732484,-116.38761,9516
Design Institute of San Diego,San Diego,CA,92121,Accrediting Council for Independent Colleges and Schools,32.731022,-117.149808,148
Diablo Valley College,Pleasant Hill,CA,94523,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.968035,-122.069861,17868
Dominican University of California,San Rafael,CA,94901-2298,Western Association of Schools and Colleges Senior Colleges and University Commission,37.980014,-122.514654,1358
Dominican School of Philosophy & Theology,Berkeley,CA,94708-1816,Western Association of Schools and Colleges Senior Colleges and University Commission,37.881099,-122.264612,NULL
